brms_rider_id,birth,delivery_method,first_available_date,business_start_day,is_recom,insurance_type,gender,recommender_rider_account_id,rider_no,수행건수,실제수행기간,최다수행시각,최다수행시각.1,평일/주말선호,2순위평일/주말,최다수행요일,2순위수행요일,최다기상타입,주요수행service_type,주요수행allocated_type,주요수행method,최다수행전달거리,2순위수행전달거리,기본배달비_중간값,총배달비_중간값,last_working_day,not_working,첫운행이후,미운행기간,첫운행이후기간,outcome
C6DC3943FE34C2E0EE4734AF529C7ACD9E600B40772D78A4A2F385006818B5FA,1970,BIKE,2023.8.28,2023.9.1,0,BIKE_ON_DEMAND_DB,MAN,NA,C6DC3943FE34C2E0EE4734AF529C7ACD9E600B40772D78A4A2F385006818B5FA,87,7,20_26,09_11,WEEKEND,WEEKDAY,SUN,TUE,0,SINGLE,1,THROTTLE_BICYCLES,1000,1500.0,3500,3848,2023.10.11,2,42,10일 이하,50일 이하,0
C6E3B1856FF2641B166388B4279F2492FD4196C9EC043F2F2017B29D4FF01054,1990,CAR,2023.8.27,2023.8.28,0,CAR_ON_DEMAND,WOMAN,NA,C6E3B1856FF2641B166388B4279F2492FD4196C9EC043F2F2017B29D4FF01054,2,1,09_11,NA,WEEKDAY,NA,MON,NA,1,STACK,1,CAR,2000,NA,3740,4740,2023.8.28,46,46,50일 이하,50일 이하,1
C6E7255E4C271ECA1B7E6A353F59CC9CA51B4DC83153EC98780563FA2632AE65,1980,BIKE,2023.8.13,2023.8.13,1,PERSONAL,MAN,B15839DE75F7EF70223A25B96C9F28C31EEE76F9B28C795F30021AB1F6F06E60,C6E7255E4C271ECA1B7E6A353F59CC9CA51B4DC83153EC98780563FA2632AE65,4,3,09_11,13_17,WEEKDAY,WEEKEND,WED,THU,0,SINGLE,1,BIKE,2000,4000.0,3600,4800,2023.10.10,3,61,10일 이하,61일 이상,0
C6ECDF2ABEE95997AAE0E92D1E5AC245E9E5CB812A6A6AD2A0E01631B8614F84,1990,THROTTLE_BICYCLES,2023.8.20,2023.8.20,0,ETC_ON_DEMAND,MAN,NA,C6ECDF2ABEE95997AAE0E92D1E5AC245E9E5CB812A6A6AD2A0E01631B8614F84,1,1,20_26,NA,WEEKEND,NA,SUN,NA,0,SINGLE,1,THROTTLE_BICYCLES,2000,NA,3900,4300,2023.8.28,46,54,50일 이하,60일 이하,1
C6F357C0D161A695B48F40A01CF93DBFCF84ADC6777658C2844F62F517419567,1970,BIKE,2023.8.26,2023.8.27,1,MOTOR_BIKE_ON_DEMAND,MAN,C5D7DE24E9F131B296EA428EACA365400BE594716016D713793DB506E3330828,C6F357C0D161A695B48F40A01CF93DBFCF84ADC6777658C2844F62F517419567,1,1,17_20,NA,WEEKEND,NA,SUN,NA,1,SINGLE,0,BIKE,1500,NA,3500,4500,2023.9.15,28,47,30일 이하,50일 이하,0
C6F82DE3B8917D2D74D4F361140E30F4D0A8009ADDF71B2B642919ECE9FF8383,1990,GENERAL_BICYCLES,2023.8.18,2023.8.18,0,ETC_ON_DEMAND,MAN,NA,C6F82DE3B8917D2D74D4F361140E30F4D0A8009ADDF71B2B642919ECE9FF8383,22,3,13_17,20_26,WEEKEND,NA,SAT,FRI,0,SINGLE,1,GENERAL_BICYCLES,1000,500.0,3500,3660,2023.10.7,6,56,10일 이하,60일 이하,0
C7083A1F3D65F39FBF7EBBC18ED536C4B50D277A635C0422ACE87DE6541BC201,1980,GENERAL_BICYCLES,2023.9.8,2023.9.10,0,ETC_ON_DEMAND,MAN,NA,C7083A1F3D65F39FBF7EBBC18ED536C4B50D277A635C0422ACE87DE6541BC201,43,7,13_17,09_11,WEEKDAY,WEEKEND,FRI,THU,0,SINGLE,0,BIKE,0,1000.0,3500,4060,2023.9.16,27,33,30일 이하,40일 이하,0
C719AB79197357966794380E534F78BBB5D5A64AA4987253C0F554EA72F72449,1980,PAS_BICYCLES,2023.9.14,2023.9.16,0,ETC_ON_DEMAND,WOMAN,NA,C719AB79197357966794380E534F78BBB5D5A64AA4987253C0F554EA72F72449,4,2,20_26,NA,WEEKEND,NA,FRI,SAT,0,SINGLE,0,PAS_BICYCLES,500,2000.0,3500,4800,2023.9.22,21,27,30일 이하,30일 이하,0
C71C2B41B173A76C15EE24CE8BA4221BC64EEA35EF94299BD89C6ECD4CDC42BA,2000,BIKE,2023.8.8,2023.8.8,0,BIKE_ON_DEMAND_HYUNDAI,MAN,NA,C71C2B41B173A76C15EE24CE8BA4221BC64EEA35EF94299BD89C6ECD4CDC42BA,97,6,13_17,17_20,WEEKEND,WEEKDAY,SAT,MON,0,SINGLE,0,BIKE,1500,1000.0,3500,4965,2023.10.11,2,66,10일 이하,61일 이상,0
C721AA179996849A3D8DCD9D10479AD0244E24A41B15F7DC8295E8EF2DE770FE,1970,WALK,2023.8.17,2023.8.25,0,NOT_REQUIRED,MAN,NA,C721AA179996849A3D8DCD9D10479AD0244E24A41B15F7DC8295E8EF2DE770FE,36,6,13_17,20_26,WEEKDAY,WEEKEND,TUE,SUN,0,SINGLE,1,WALK,0,500.0,2600,2850,2023.10.10,3,49,10일 이하,50일 이하,0
C7336452315489D70C237990C2A319AADCEB005E3AE59A88EFA64386E85E2A42,1990,GENERAL_BICYCLES,2023.8.31,2023.8.31,0,ETC_ON_DEMAND,WOMAN,NA,C7336452315489D70C237990C2A319AADCEB005E3AE59A88EFA64386E85E2A42,32,4,13_17,17_20,WEEKEND,NA,SAT,MON,0,SINGLE,1,GENERAL_BICYCLES,1000,500.0,3500,3700,2023.9.12,31,43,40일 이하,50일 이하,1
C733B91F515B03657B55935B50E2C1F33236ECABF33FE3569328191CE9F86701,1990,BIKE,2023.8.28,2023.9.1,1,BIKE_ON_DEMAND_DB,MAN,85851C633B5E185B35525E482302977D3A7EA7923563EE196239772F21F6888E,C733B91F515B03657B55935B50E2C1F33236ECABF33FE3569328191CE9F86701,12,3,20_26,NA,WEEKDAY,WEEKEND,MON,FRI,0,SINGLE,1,BIKE,2000,4500.0,3980,5640,2023.9.5,38,42,40일 이하,50일 이하,1
