"shop_no","addr","floor","rgn1_nm","rgn2_nm","rgn3_nm","shop_category","latitude","longitude","PICK","건물용도명_2"
13380469,"서울특별시 서초구 방배동 1022-1",1,"서울특별시","서초구","방배동","BAEKBAN",37.47971465,126.9991327,1,"업무시설"
13398841,"서울특별시 서초구 서초동 1336",-1,"서울특별시","서초구","서초동","BAEKBAN",37.49167592,127.0270879,1,"NA"
13408128,"서울특별시 서초구 방배동 760-2",3,"서울특별시","서초구","방배동","ZZIM_TANG",37.49565821,126.9858582,1,"일반음식점"
13425665,"서울특별시 서초구 강남대로101길 16",0,"서울특별시","서초구","잠원동","ZZIM_TANG",37.51673848,127.0186854,1,NA
13456495,"서울특별시 서초구 서초동 1303-22",-1,"서울특별시","서초구","서초동","CAFE",37.503775,127.024063,1,"업무시설"
13484207,"서울특별시 서초구 방배동 448-21",2,"서울특별시","서초구","방배동","ZZIM_TANG",37.47693693,126.9846063,1,"일반음식점"
13488387,"서울특별시 서초구 방배동 761-7",1,"서울특별시","서초구","방배동","CAFE",37.49551813,126.9855224,1,"일반음식점"
13491649,"서울특별시 서초구 양재동 230",1,"서울특별시","서초구","양재동","CAFE",37.46277297,127.0438513,1,"일반상점"
13493039,"서울특별시 서초구 서초대로73길 42",1,"서울특별시","서초구","서초동","JOKBAL",37.50121261,127.0244354,1,"업무시설"
13495066,"서울특별시 서초구 서초동 1321-6",-1,"서울특별시","서초구","서초동","BAEKBAN",37.49599101,127.025241,1,"아파트"
13502195,"서울 서초구 서초동 1626-3",1,"서울특별시","서초구","서초동","BURGER",37.48857504,127.0162976,1,"업무시설"
13507002,"서울특별시 서초구 양재동 13-20",1,"서울특별시","서초구","양재동","JAPANESE",37.48374261,127.035546,1,"근린생활시설"
13511424,"서울특별시 서초구 잠원동 70",-1,"서울특별시","서초구","잠원동","JAPANESE",37.50829277,127.0080299,1,"일반상점"
13519064,"서울특별시 서초구 강남대로101안길 4",1,"서울특별시","서초구","잠원동","JAPANESE",37.51671069,127.0181022,1,"근린생활시설"
13520613,"서울특별시 서초구 방배동 3001-2",1,"서울특별시","서초구","방배동","CHICKEN",37.48596364,126.9830229,1,"아파트"
13521118,"서울특별시 서초구 양재동 241-3",1,"서울특별시","서초구","양재동","CHICKEN",37.47307725,127.0391293,1,"업무시설"
13528342,"서울특별시 서초구 서초동 1344-13",-1,"서울특별시","서초구","서초동","CAFE",37.48679768,127.0283521,1,NA
13533389,"서울특별시 서초구 서초동 1671-2",1,"서울특별시","서초구","서초동","JAPANESE",37.49329668,127.0146031,1,"교육시설"
13540534,"서울특별시 서초구 양재동 373",1,"서울특별시","서초구","양재동","PIZZA",37.47129977,127.0443233,1,"업무시설"
13541695,"서울특별시 서초구 우면동 712",1,"서울특별시","서초구","우면동","CHICKEN",37.46277258,127.0216867,1,"공동주택"
