dlvry_id,전체배차시간,y_pred_new,KMeansCluster,AgglomerativeCluster
20230915_0246LUBF,0.6,0.10547745387209345,1,0
20230915_0246TTCY,3.9,0.20630651324760488,2,2
20230915_0247TCUZ,0.53333333,0.07079517156064044,1,0
20230915_0247TMUX,1.0,0.030622516334338754,1,0
20230915_0249RYDM,0.25,0.06773112078286081,1,0
20230915_0251IFWN,0.78333333,0.14997630507617984,2,0
20230915_0253BYVB,0.53333333,0.041035973360507884,1,0
20230915_0253JUYF,8.35,0.16230872411128736,2,0
20230915_0256IFDT,0.41666667,0.059507946255637836,1,0
20230915_0258UYCK,0.65,0.04211724602848573,1,0
20230915_0263JETR,0.31666667,0.07662292103449689,1,0
20230915_0264ZVCE,1.86666667,0.28132121362017454,0,2
20230915_0265TABB,14.25,0.22429113536558418,2,2
20230915_0265VEKL,22.0,0.46962834550668386,0,1
20230915_0265WYBU,0.56666667,0.09281487814504105,1,0
20230915_0270BKWV,1.28333333,0.5353346414505673,3,1
20230915_0271TZYP,12.28333333,0.1386567207916084,2,0
20230915_0272RLXF,2.88333333,0.057632022610978245,1,0
20230915_0274HRMD,0.78333333,0.058967512148481505,1,0
20230915_0275TSXM,1.01666667,0.055393892437323296,1,0
20230915_0279NYEY,1.61666667,0.07929703642734791,1,0
20230915_0282DPJN,2.0,0.043863474820726604,1,0
20230915_0282LYMB,0.78333333,0.02686932944353723,1,0
20230915_0283IIKY,2.7,0.12543889819441348,2,0
20230915_0285JIEM,18.13333333,0.14470953498686204,2,0
20230915_0297YXPJ,0.28333333,0.0783784285769209,1,0
20230915_0299PNXC,1.35,0.14048885744846512,2,0
20230915_0302LZRW,0.25,0.22978662236065134,2,2
20230915_0302VNQT,0.48333333,0.10638898284568346,1,0
20230915_0304BZIC,0.36666667,0.07117570750029571,1,0
20230915_0305EXUN,0.75,0.20888451227704866,2,2
20230915_0305FZHP,0.38333333,0.03725869877313613,1,0
20230915_0305YHSL,14.96666667,0.3405666857507589,0,1
20230915_0309HWBK,1.18333333,0.15103563576256443,2,0
20230915_0310AUHD,0.25,0.04601922198550567,1,0
20230915_0310YTXQ,0.5,0.04490703674678373,1,0
20230915_0312MJHV,10.6,0.060541800219512776,1,0
20230915_0317JADX,4.03333333,0.17819437814794328,2,2
20230915_0321EAIS,0.31666667,0.06380453179741478,1,0
20230915_0322HRAB,0.81666667,0.029979656642019285,1,0
20230915_0322VYNU,0.4,0.20329788922401626,2,2
20230915_0323MKSU,0.3,0.10599882356903965,1,0
20230915_0323PQKA,0.48333333,0.05784206347224554,1,0
20230915_0324TEVZ,0.45,0.09569066399265769,1,0
20230915_0326KKVU,1.4,0.11970947163984584,2,0
20230915_0327EXFX,0.33333333,0.045438796550865884,1,0
20230915_0327SCNM,3.43333333,0.2754679698103537,0,2
20230915_0330PVQV,2.46666667,0.16328088603589125,2,0
20230915_0332DPUV,2.85,0.5244871004501189,3,1
20230915_0333JNYV,0.36666667,0.30603437633301117,0,2
20230915_0336KFSV,0.68333333,0.03356051673069457,1,0
20230915_0338HSXK,1.16666667,0.009457179814344477,1,0
20230915_0343YYKN,0.38333333,0.1435569966173564,2,0
20230915_0344ISAB,3.76666667,0.36325136781869033,0,1
20230915_0345HFNB,18.0,0.21741310244008175,2,2
20230915_0346WIDM,0.86666667,0.07038649818457508,1,0
20230915_0349PRUZ,1.25,0.057435360123592294,1,0
20230915_0350AMPY,0.48333333,0.043394187957381314,1,0
20230915_0350NHKV,0.41666667,0.08662428112092746,1,0
20230915_0352RTNL,0.95,0.07564558158681023,1,0
20230915_0357HUJJ,0.58333333,0.04610424393740833,1,0
20230915_0363SUEK,29.76666667,0.3871628312977202,0,1
20230915_0364DWHZ,4.31666667,0.20028376731145517,2,2
20230915_0365SAJZ,0.26666667,0.03148797835575806,1,0
20230915_0366ADKD,2.2,0.11103673954732465,2,0
20230915_0368XSZK,3.35,0.06804350959504991,1,0
20230915_0370SIQD,22.18333333,0.8560108824413594,3,3
20230915_0371NKXM,0.76666667,0.18471636221515153,2,2
20230915_0371YEBJ,0.86666667,0.11773073773045262,2,0
20230915_0373JTWA,0.6,0.01914126686968755,1,0
20230915_0373LUKJ,0.78333333,0.3384819286147813,0,1
20230915_0375WCAP,0.26666667,0.054007339202816265,1,0
20230915_0376YEJJ,0.78333333,0.06281220998400432,1,0
20230915_0383YLFY,0.43333333,0.252732818459999,2,2
20230915_0385BPLF,0.68333333,0.04625448955805397,1,0
20230915_0387TIEQ,0.73333333,0.03345670407437458,1,0
20230915_0389IUVY,24.66666667,0.5403935421689375,3,1
20230915_0392AQAA,0.73333333,0.3113359790930943,0,2
20230915_0394EMZM,0.28333333,0.058109992834775005,1,0
20230915_0395MLKY,0.31666667,0.12774109732534114,2,0
20230915_0395PAZM,3.31666667,0.062285238517897294,1,0
20230915_0396TJWR,0.63333333,0.04683148700565507,1,0
20230915_0397AHJD,2.33333333,0.12560309923629004,2,0
20230915_0400BPFR,0.38333333,0.1271072059247138,2,0
20230915_0400FPCL,1.03333333,0.17323759177317688,2,2
20230915_0401PWTV,11.75,0.19540572753952457,2,2
