dlvry_id,전체배차시간,outcome,y_pred,KMeansCluster
20230821_3727KFYV,0.31666667,0,0.1268371884956207,2
20230831_6857XCVK,1.18333333,0,0.029493373615231917,0
20230902_0083EATK,0.86666667,0,0.05091487647600584,0
20230831_4715JIIT,0.41666667,0,0.059986166124260554,0
20230822_6000KJFY,1.0,0,0.022793036585777682,0
20230821_8211MUKZ,1.18333333,0,0.07040590721487351,0
20230826_3730TYPH,0.56666667,0,0.030680307943253153,0
20230825_2120CIWD,1.53333333,0,0.06395919010518336,0
20230826_9529UKEN,1.2,0,0.023730957466950774,0
20230903_9280CSYM,0.3,0,0.030476361233364793,0
20230829_6828MTQC,0.7,0,0.0698318735434484,0
20230826_6678BJEP,0.28333333,0,0.047586633226425125,0
20230903_0060BNZY,4.98333333,0,0.05637958387572224,0
20230828_9708EXBW,0.81666667,0,0.022137223994586817,0
20230824_0293HQIB,2.43333333,0,0.293190227660487,1
20230829_8559JLEK,1.73333333,0,0.030281140357064886,0
20230826_2710UCHK,0.7,0,0.03509103859813843,0
20230826_5444NZXF,1.73333333,0,0.0733290830244043,0
20230824_3513ZEXB,2.03333333,0,0.23131021050794076,1
20230829_9285VNLL,2.88333333,0,0.021902494213714863,0
20230826_1366UXCX,0.78333333,0,0.10890357703031316,2
20230827_3514IHQJ,0.55,0,0.06474681260788677,0
20230827_1306IMDU,5.5,1,0.05263078070656309,0
20230901_8771HABK,5.91666667,1,0.03950705969482938,0
20230901_6261YSBN,0.33333333,0,0.04046469792091968,0
20230821_3428SELC,1.55,0,0.03347924145605716,0
20230827_1585PQRB,0.5,0,0.023805977501518003,0
20230821_6817DTZN,0.43333333,0,0.1421212420646395,2
20230902_7649TXIN,0.31666667,0,0.30844555582494165,1
20230827_4561DYAV,3.56666667,0,0.2482577177837427,1
20230826_2907ZBBE,1.01666667,0,0.17118106213876572,2
20230901_0946EIIZ,0.51666667,0,0.06422194488446528,0
20230827_3445AWZI,3.68333333,0,0.055497423195112076,0
20230902_1806USTR,1.05,0,0.06676135894822151,0
20230823_0963VZVS,0.38333333,0,0.040558277075440054,0
20230827_0557XNBY,0.2,0,0.012827586991524089,0
20230826_2548LFMY,2.48333333,0,0.36410396315285726,1
20230827_3433VFFN,0.61666667,0,0.061609997108073376,0
20230901_6291BZWI,2.56666667,0,0.08213271479895602,0
20230827_3391HXIW,0.48333333,0,0.03965124456084659,0
20230831_2750SEAK,0.63333333,0,0.03642352733540471,0
20230827_1873JPYZ,2.6,0,0.018374126638094755,0
20230825_6461CVYI,1.7,0,0.13071940037521726,2
20230824_8922RVLZ,0.6,0,0.12259427187823664,2
20230829_7435MLXL,1.38333333,0,0.09039543517504352,2
20230830_3464ZISB,0.51666667,0,0.043997121737410105,0
20230831_7528FAML,0.4,0,0.01913301346555214,0
20230821_9484MIPJ,0.66666667,0,0.023035494964508203,0
20230827_6162JCPH,1.78333333,0,0.15279640037266384,2
20230826_2598VTYQ,12.65,1,0.15014973995368314,2
20230824_8320EVVK,1.08333333,0,0.12332456901056343,2
20230826_2365AFHF,0.25,0,0.054644081458480806,0
20230829_3394VUPA,0.3,0,0.04422784122892577,0
20230830_5223UBPA,0.31666667,0,0.02571387024605472,0
20230903_1445LQBY,0.36666667,0,0.024441304298787665,0
20230827_5423CTSK,3.3,0,0.02696147661495532,0
