Latitude,Longitude,Address
37.49221374,127.0290463,서울특별시 서초구 서초동 1337-14
37.49590759,127.0199081,서울특별시 서초구 서초동 1688-5
37.48146441,126.9969106,서울특별시 서초구 방배동 909-8
37.50721148,127.0006318,서울특별시 서초구 잠원동 76
37.486916,127.014508,서울특별시 서초구 서초동 1599-2
37.4907969,127.0103536,서울특별시 서초구 서초동 1550-11
37.5027113,127.0238406,서울특별시 서초구 서초동 1303-16
37.49060253,127.0133533,서울특별시 서초구 서초동 1568-5
37.50482327,127.0226854,서울특별시 서초구 반포동 738-43
37.49218571,127.0149643,서울특별시 서초구 서초동 1660-2
37.48713017,126.9831895,서울특별시 서초구 방배동 1476
37.48607473,126.9826063,서울특별시 서초구 방배동 3001-1
37.49199153,127.0288241,서울특별시 서초구 서초동 1337-2
37.49471343,127.0281574,서울특별시 서초구 서초동 1327-14
37.47332738,127.0478507,서울특별시 서초구 양재동 289-9
37.48857529,127.0300185,서울특별시 서초구 서초동 1341-9
37.48935261,127.0095759,서울특별시 서초구 서초동 1544-9
37.48707549,127.0314629,서울특별시 서초구 서초동 1358-11
37.49154647,126.9915775,서울특별시 서초구 방배동 811-15
37.47229967,127.0452398,서울특별시 서초구 양재동 291-23
37.48596364,126.9830229,서울특별시 서초구 방배동 3001-2
37.48165883,126.9971051,서울특별시 서초구 방배동 909-9
37.5116002,127.0194911,서울특별시 서초구 잠원동 38-13
37.49596328,127.0279907,서울특별시 서초구 서초동 1328-2
37.50551735,127.0067424,서울특별시 서초구 반포동 19-4
37.48138106,126.9953552,서울특별시 서초구 방배동 912-1
37.51090585,127.0200466,서울특별시 서초구 잠원동 38-26
37.49018622,127.0306295,서울특별시 서초구 서초동 1338-20
37.49437998,127.0198249,서울특별시 서초구 서초동 1637-1
37.50354541,127.0096866,서울특별시 서초구 반포동 58-6
37.4867976,127.0234914,서울특별시 서초구 서초동 1438-18
37.48432515,126.9950218,서울특별시 서초구 방배동 925-26
37.4932414,127.0293518,서울특별시 서초구 서초동 1329-8
37.49229705,127.0286297,서울특별시 서초구 서초동 1337
37.48626963,127.0097704,서울특별시 서초구 서초동 1536-4
37.4841801,127.0131292,서울특별시 서초구 서초동 1458-3
37.49407445,127.0187972,서울특별시 서초구 서초동 1640-13
37.49424126,127.028213,서울특별시 서초구 서초동 1330-20
37.49063055,127.0269354,서울특별시 서초구 서초동 1334-1
37.49160198,126.9889944,서울특별시 서초구 방배동 814-28
37.4819088,126.9967162,서울특별시 서초구 방배동 909-5
37.49518545,127.0198248,서울특별시 서초구 서초동 1678-8
37.50257353,127.0226299,서울특별시 서초구 서초동 1302-35
