shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
13513693,서울특별시 서초구 방배동 876-19,1,서울특별시,서초구,방배동,WESTERN,37.48832467,126.9942718,1
13515134,서울특별시 서초구 서초동 1308-10,1,서울특별시,서초구,서초동,MEAT,37.50096265,127.02504642,1
13515982,서울특별시 서초구 사임당로 21,1,서울특별시,서초구,서초동,SNACK,37.48790838,127.0124646,1
13518414,서울특별시 서초구 반포동 92-3,1,서울특별시,서초구,반포동,CHICKEN,37.49926793,126.99877108,1
13525171,서울특별시 서초구 반포동 734-6,1,서울특별시,서초구,반포동,CAFE,37.50668414,127.02149102,1
13527781,서울특별시 서초구 서초동 1582-12,1,서울특별시,서초구,서초동,CAFE,37.48668627,127.01049259,1
13539986,서울특별시 서초구 방배동 3001-2,-1,서울특별시,서초구,방배동,JAPANESE,37.48596364,126.98302289,1
13544553,서울특별시 서초구 서초동 1594-3,1,서울특별시,서초구,서초동,MEAT,37.48654746,127.01399227,1
13548703,서울특별시 서초구 양재동 372-4,1,서울특별시,서초구,양재동,ZZIM_TANG,37.47118867,127.04398998,1
13549506,서울특별시 서초구 서초동 1542-1,-1,서울특별시,서초구,서초동,WESTERN,37.49157455,127.00832598,1
13556521,서울특별시 서초구 양재동 257-5,1,서울특별시,서초구,양재동,CAFE,37.47449381,127.04246225,1
13557480,서울특별시 서초구 반포동 746-3,1,서울특별시,서초구,반포동,JAPANESE,37.50426776,127.02201882,1
13569153,서울특별시 서초구 방배동 899-16,1,서울특별시,서초구,방배동,CAFE,37.48679709,126.9951051,1
13570674,서울특별시 서초구 강남대로 213,-1,서울특별시,서초구,양재동,CAFE,37.48290937,127.03499046,1
13574444,서울특별시 서초구 서초동 1603-67,1,서울특별시,서초구,서초동,CHICKEN,37.48549208,127.01729756,1
13598363,서울특별시 서초구 방배동 456-26,1,서울특별시,서초구,방배동,CAFE,37.481005,126.983446,1
13600705,서울특별시 서초구 방배동 910-7,1,서울특별시,서초구,방배동,CAFE,37.48232541,126.99646621,1
13601750,서울특별시 서초구 방배동 766-4,1,서울특별시,서초구,방배동,WESTERN,37.49496261,126.98427252,1
13615597,서울특별시 서초구 서초동 1570-1,1,서울특별시,서초구,서초동,CHICKEN,37.49138019,127.01204787,1
