"Latitude","Longitude","Address","건물용도명","지상층수_max","지하층수_min","주용도코드명","건물용도명_2"
37.4772053,126.9994342,"서울특별시 서초구 방배동 3283",NA,NA,NA,"공동주택","공동주택"
37.50676767,127.0331011,"서울특별시 강남구 역삼동 606",NA,NA,NA,NA,NA
37.47759383,127.0024851,"서울특별시 서초구 방배동 1015","아파트",11,1,"공동주택","아파트"
37.50121254,127.0206857,"서울특별시 서초구 서초동 1311-10",NA,NA,NA,"공동주택","공동주택"
37.52332436,127.0187513,"서울특별시 강남구 압구정동 408",NA,NA,NA,NA,NA
37.5161433,127.046271,"서울특별시 강남구 삼성동 14-1","아파트",22,0,"공동주택","아파트"
37.46517174,127.0208887,"서울특별시 서초구 우면동 700",NA,NA,NA,NA,NA
37.47938099,126.9787457,"서울특별시 동작구 사당동 1034-6",NA,NA,NA,NA,NA
37.4830652,127.0155512,"서울특별시 서초구 서초동 1446-11","아파트",46,3,NA,"아파트"
37.48101779,126.9803625,"서울특별시 동작구 사당동 1020-30","공동주택",5,1,NA,"공동주택"
37.5041377,127.0141796,"서울특별시 서초구 반포동 30-26",NA,NA,NA,"공동주택","공동주택"
37.47255599,126.9626423,"서울특별시 관악구 봉천동 196-185","공동주택",3,1,NA,"공동주택"
37.49362866,127.0006333,"서울특별시 서초구 반포동 577-51","공동주택",4,1,NA,"공동주택"
37.49155872,127.0301279,"서울특별시 서초구 서초동 1337-22","아파트",15,5,NA,"아파트"
37.49107461,127.0085482,"서울특별시 서초구 서초동 1542-6","아파트",25,6,NA,"아파트"
37.49729208,127.0291966,"서울특별시 강남구 역삼동 825-30",NA,NA,NA,NA,NA
37.48693599,126.9967716,"서울특별시 서초구 방배동 890-15","공동주택",5,1,NA,"공동주택"
37.4611316,127.026566,"서울특별시 서초구 우면동 737",NA,NA,NA,"공동주택","공동주택"
37.49578015,126.9880715,"서울특별시 서초구 방배동 772-1",NA,NA,NA,NA,NA
37.4841698,127.0178136,"서울특별시 서초구 서초동 1445-15",NA,NA,NA,NA,NA
37.50560104,127.0275461,"서울특별시 강남구 논현동 202-7",NA,NA,NA,NA,NA
37.4868734,127.0087957,"서울특별시 서초구 서초동 1741-6",NA,NA,NA,NA,NA
37.48176953,126.974996,"서울특별시 동작구 사당동 318-93",NA,NA,NA,NA,NA
37.50224019,127.0204635,"서울특별시 서초구 서초동 1301-6","아파트",31,0,"공동주택","아파트"
37.49201854,126.9858836,"서울특별시 서초구 방배동 789-22","공동주택",4,0,NA,"공동주택"
37.49632375,126.9943549,"서울특별시 서초구 반포동 610-31","공동주택",4,1,NA,"공동주택"
37.4738517,126.9727945,"서울특별시 관악구 남현동 1071-5","공동주택",3,1,NA,"공동주택"
37.48296495,127.0371014,"서울특별시 서초구 양재동 10-13","아파트",5,1,NA,"아파트"
37.50368185,126.9986772,"서울특별시 서초구 반포동 18-1","아파트",32,0,"공동주택","아파트"
37.51634968,127.0212686,"서울특별시 강남구 논현동 2-15","의료시설",8,3,NA,"의료시설"
37.48393605,126.9807176,"서울특별시 동작구 사당동 1006-13","공동주택",2,1,NA,"공동주택"
37.51193322,127.004048,"서울특별시 서초구 잠원동 73","아파트",12,1,NA,"아파트"
37.49138056,127.0324905,"서울특별시 강남구 역삼동 837-18",NA,NA,NA,NA,NA
37.50404552,127.0194357,"서울특별시 서초구 반포동 742-7","업무시설",7,1,NA,"업무시설"
37.48540871,127.0145478,"서울특별시 서초구 서초동 1601-6",NA,NA,NA,NA,NA
37.4937413,126.9978436,"서울특별시 서초구 반포동 586-3","공동주택",3,1,"공동주택","공동주택"
37.49479608,126.9903831,"서울특별시 서초구 방배동 13-10","공동주택",3,1,NA,"공동주택"
37.4913138,126.9892508,"서울특별시 서초구 방배동 816-1","아파트",12,4,NA,"아파트"
37.49674079,127.0182694,"서울특별시 서초구 서초동 1687","아파트",18,1,"공동주택","아파트"
37.49879612,127.0186304,"서울특별시 서초구 서초동 1682","아파트",27,0,"공동주택","아파트"
37.46885559,127.0431568,"서울특별시 서초구 양재동 340-1","근린생활시설",4,1,NA,"근린생활시설"
37.48958235,127.0264197,"서울특별시 서초구 서초동 1757",NA,NA,NA,"공동주택","공동주택"
37.4859368,127.035407,"서울특별시 강남구 도곡동 954-22","공동주택",4,0,NA,"공동주택"
37.48129747,126.9805788,"서울특별시 동작구 사당동 1018-24","공동주택",4,1,NA,"공동주택"
37.4849153,127.0101105,"서울특별시 서초구 서초동 1531-10","일반상점",4,1,NA,"일반상점"
37.48868597,127.0066873,"서울특별시 서초구 서초동 1506-37","일반상점",4,1,NA,"일반상점"
37.50512875,127.0205189,"서울특별시 서초구 반포동 732-15","공동주택",3,1,NA,"공동주택"
37.4814864,127.0005405,"서울특별시 서초구 방배동 988-1","아파트",15,1,"공동주택","아파트"
37.52923719,127.0275176,"서울특별시 강남구 압구정동 449",NA,NA,NA,NA,NA
37.48029748,126.9749682,"서울특별시 동작구 사당동 434-4","공동주택",4,1,NA,"공동주택"
37.51251698,127.0317955,"서울특별시 강남구 논현동 215-12","의료시설",8,3,NA,"의료시설"
37.485159,127.019159,"서울특별시 서초구 서초동 1444-3","아파트",12,2,NA,"아파트"
37.5139332,127.015908,"서울특별시 서초구 잠원동 17-11","공동주택",5,1,NA,"공동주택"
37.48193623,126.9778846,"서울특별시 동작구 사당동 1015-18","공동주택",4,0,NA,"공동주택"
37.48565866,127.0132424,"서울특별시 서초구 서초동 1589-11",NA,NA,NA,NA,NA
37.48468661,127.0169921,"서울특별시 서초구 서초동 1445-4","아파트",24,5,NA,"아파트"
37.51005043,127.0049031,"서울특별시 서초구 잠원동 71-17",NA,NA,NA,NA,NA
37.5074141,127.0149774,"서울특별시 서초구 반포동 20-43","아파트",29,0,"공동주택","아파트"
